Quotazioni Immobiliari : Valori di Mercato - Semestre 2025/1 - elaborazione del 21-FEB-26
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E5;AQ00010323;13;Box;NORMALE;P;430;640;L;1,7;2,5;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E5;AQ00010323;14;Posti auto coperti;NORMALE;P;340;500;L;1,3;1,8;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E5;AQ00010323;15;Posti auto scoperti;NORMALE;P;140;210;L;,7;1;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E5;AQ00010323;1;Ville e Villini;NORMALE;P;820;1200;L;2,8;4;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E5;AQ00010323;9;Magazzini;NORMALE;P;390;580;L;2,3;3,5;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E5;AQ00010323;5;Negozi;NORMALE;P;780;1150;L;4,5;6,7;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E5;AQ00010323;6;Uffici;NORMALE;P;730;1050;L;4,4;5,9;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E5;AQ00010323;8;Capannoni industriali;NORMALE;P;350;520;L;1,9;2,9;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E5;AQ00010323;7;Capannoni tipici;NORMALE;P;390;580;L;2,3;3,5;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;E;E5;AQ00010323;10;Laboratori;NORMALE;P;420;620;L;2,5;3,7;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R2;AQ00002331;20;Abitazioni civili;NORMALE;P;530;700;L;1,8;2,4;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R2;AQ00002331;21;Abitazioni di tipo economico;NORMALE;P;460;690;L;1,6;2,3;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R2;AQ00002331;16;Autorimesse;NORMALE;P;220;290;L;1,1;1,5;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R2;AQ00002331;13;Box;NORMALE;P;340;500;L;1,4;1,7;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R2;AQ00002331;14;Posti auto coperti;NORMALE;P;280;340;L;1,1;1,6;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R2;AQ00002331;15;Posti auto scoperti;NORMALE;P;130;160;L;,6;,8;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R2;AQ00002331;1;Ville e Villini;NORMALE;P;580;860;L;1,7;2,4;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R2;AQ00002331;9;Magazzini;NORMALE;P;200;280;L;1,4;1,8;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R2;AQ00002331;5;Negozi;NORMALE;P;520;740;L;3,1;4,5;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R2;AQ00002331;6;Uffici;NORMALE;P;470;700;L;1,7;2;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R2;AQ00002331;8;Capannoni industriali;NORMALE;P;210;310;L;1,5;2,1;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R2;AQ00002331;7;Capannoni tipici;NORMALE;P;270;410;L;1,6;2,3;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R2;AQ00002331;10;Laboratori;NORMALE;P;310;460;L;2,1;2,9;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R3;AQ00002332;20;Abitazioni civili;NORMALE;P;430;640;L;1,6;2,3;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R3;AQ00002332;21;Abitazioni di tipo economico;NORMALE;P;380;560;L;1,4;2;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R3;AQ00002332;16;Autorimesse;NORMALE;P;130;190;L;,9;1,3;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R3;AQ00002332;13;Box;NORMALE;P;230;340;L;1,2;1,6;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R3;AQ00002332;14;Posti auto coperti;NORMALE;P;190;270;L;1;1,5;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R3;AQ00002332;15;Posti auto scoperti;NORMALE;P;90;120;L;,5;,7;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R3;AQ00002332;1;Ville e Villini;NORMALE;P;510;700;L;1,7;2,3;L;
